difficulty,class_name,class_label,level,win_rate,avg_rounds_to_kill,avg_rounds_all,avg_combo_len,max_combo_len,finisher_rate,avg_damage_per_attack,avg_end_hp_ratio,samples
elite,assassin,Assassin,7,0.9235,3.804818624796968,3.90425,3.197364918818206,7,0.27528613255256856,307.8890737290391,0.342616250000001,4000
elite,assassin,Assassin,8,0.963,3.6017653167185877,3.6635,3.557902147131292,8,0.2926434354100669,380.76430834213306,0.42383449074074203,4000
elite,assassin,Assassin,9,0.95325,3.6341463414634148,3.7105,3.7440513571976832,9,0.29802525992603446,421.83294954992675,0.4159017857142832,4000
elite,assassin,Assassin,10,0.985,3.364467005076142,3.393,4.270161596237008,10,0.33692436082239585,533.0016690691147,0.5002562500000015,4000
elite,assassin,Assassin,11,0.985,3.3139593908629443,3.3435,4.610135551447936,11,0.34118915588416515,598.4769716574245,0.5091421370967747,4000
elite,assassin,Assassin,12,0.9965,3.086302057200201,3.0955,5.299875879189077,12,0.3821266032271411,731.4935043442284,0.5807073863636361,4000
elite,assassin,Assassin,13,0.9975,2.7984962406015037,2.80525,6.541269258987527,13,0.4367204695524578,918.7134996331621,0.6381965579710088,4000
elite,assassin,Assassin,14,0.9985,2.716324486730095,2.72025,7.29088154530821,14,0.45686961461982767,1059.9600416627213,0.6520303819444409,4000
elite,assassin,Assassin,15,0.9995,2.662831415707854,2.664,7.768390526824553,15,0.4701788303528274,1175.9580473658773,0.6697566666666617,4000
elite,assassin,Assassin,16,0.99875,2.719399249061327,2.723,7.8223105307976155,16,0.45141451414514144,1259.7961964235028,0.6734169303797345,4000
elite,assassin,Assassin,17,0.9985,2.7351026539809715,2.7395,8.02844002252675,17,0.4357987610287216,1356.4979350478693,0.6683271604938299,4000
elite,assassin,Assassin,18,0.99925,2.7910933199899923,2.793,8.138909358879882,18,0.436072218128224,1416.0159358879882,0.6745058823529456,4000
elite,assassin,Assassin,19,0.99875,2.8102628285356697,2.81425,8.275937785910338,19,0.4210430009149131,1505.5652333028363,0.6721477272727243,4000
elite,assassin,Assassin,20,0.99925,2.8148611458593944,2.817,8.371271729185727,20,0.417932296431839,1615.3659652333029,0.6788310439560459,4000
elite,mage,Mage,1,0.021,5.440476190476191,4.6385,1.0,1,0.0,45.29416188132349,0.0024913793103448273,4000
elite,mage,Mage,2,0.3105,4.320450885668277,4.46975,1.6134704711347048,2,0.0,94.49150630391506,0.041072265625,4000
elite,mage,Mage,3,0.493,4.149087221095335,4.336,2.0831584470094437,3,0.0,130.15575813221406,0.08308749999999998,4000
elite,mage,Mage,4,0.726,3.896694214876033,4.0625,2.5201575223601655,4,0.3351354959284475,180.17067147243358,0.16830921052631526,4000
elite,mage,Mage,5,0.7835,3.8631142310146775,4.03325,2.863274512405466,5,0.31159612577948786,217.32572641634601,0.19822103658536497,4000
elite,mage,Mage,6,0.82275,3.7414159829838955,3.90225,3.2238542091663267,6,0.31476948184414527,264.218278253774,0.23823579545454635,4000
elite,mage,Mage,7,0.912,3.6666666666666665,3.77675,3.624147198676866,7,0.33912204534491075,319.5246364826683,0.32075651041666614,4000
elite,mage,Mage,8,0.9465,3.4049128367670365,3.48,4.256568205432685,8,0.3887487012023156,402.7479590322102,0.38516125000000234,4000
elite,mage,Mage,9,0.973,3.214028776978417,3.2605,4.971107417082245,9,0.42951001345681944,493.336103854983,0.4660590277777801,4000
elite,mage,Mage,10,0.98825,3.0043005312420945,3.02625,5.893984514592019,10,0.4879605207181145,603.7991151195439,0.5149921875000087,4000
elite,mage,Mage,11,0.99625,2.7452948557089085,2.7545,6.8595916073435745,11,0.52304233795429,765.9195391532409,0.5851531249999978,4000
elite,mage,Mage,12,0.996,2.6794678714859437,2.6895,7.133563284468717,12,0.5035929864903708,884.5838842579285,0.6051815476190432,4000
elite,mage,Mage,13,0.99525,2.70635518713891,2.71725,7.37318668815777,13,0.48772162700293925,957.3214184128188,0.5968471153846252,4000
elite,mage,Mage,14,0.9955,2.711200401808137,2.722,7.564900662251656,14,0.4705771050141911,1051.1829706717124,0.6147545289855089,4000
elite,mage,Mage,15,0.99725,2.717222361494109,2.7245,7.794642014904254,15,0.4608055843788322,1142.7853976039996,0.6168177083333433,4000
elite,mage,Mage,16,0.99725,2.7157182251190775,2.72275,7.973034345728073,16,0.44781909357555116,1248.8757687576876,0.6342316666666661,4000
elite,mage,Mage,17,0.99775,2.752944124279629,2.75975,8.057907497202537,17,0.44106676613204027,1336.8922044013427,0.6305080128205118,4000
elite,mage,Mage,18,0.9975,2.7709273182957395,2.777,8.2093886260321,18,0.43835235179515725,1428.1662491882364,0.6377723765432104,4000
elite,mage,Mage,19,0.9975,2.813032581453634,2.82,8.250342497031692,19,0.41583706274545623,1504.1555393186593,0.6334717261904743,4000
elite,mage,Mage,20,0.997,2.805416248746239,2.814,8.312671420735052,20,0.41570671055037484,1619.90126165661,0.6519240056818195,4000
elite,priest,Priest,1,0.0,,5.14175,1.0,1,0.0,31.734472143417637,0.0,4000
elite,priest,Priest,2,0.05625,5.622222222222222,5.3985,1.699724517906336,2,0.0,74.26609321414516,0.00695689655172414,4000
elite,priest,Priest,3,0.16925,5.0930576070901035,5.3175,2.2797202797202796,3,0.0,97.20223776223776,0.024665605095541377,4000
elite,priest,Priest,4,0.57,4.530263157894737,4.90175,2.820482470972833,4,0.45789651673993914,137.48686732048247,0.13126331360946725,4000
elite,priest,Priest,5,0.73125,4.208888888888889,4.5275,3.4019846693208153,5,0.4601580604908194,180.10903797017053,0.21565934065933992,4000
elite,priest,Priest,6,0.8375,3.9653731343283583,4.1985,4.132817415376872,6,0.5132125330313326,229.77727444318612,0.30153553299492414,4000
elite,priest,Priest,7,0.9405,3.717437533227007,3.8155,4.999932175800326,7,0.5729788388497016,296.16942485078675,0.39595476190476525,4000
elite,priest,Priest,8,0.9815,3.4062659195109526,3.444,5.8606168446026095,8,0.6113582443653618,387.02854389086593,0.49653982300884286,4000
elite,priest,Priest,9,0.9735,3.5184899845916795,3.57,6.222238194494357,9,0.5762236756989866,418.94745921081005,0.4747636554621815,4000
elite,priest,Priest,10,0.9795,3.499744767738642,3.5415,6.558461315560707,10,0.545131845841785,473.6185888148363,0.4880359999999987,4000
elite,priest,Priest,11,0.9805,3.495155532891382,3.53725,6.927926616191031,11,0.5313046010483401,525.2999417588818,0.5017414448669231,4000
elite,priest,Priest,12,0.986,3.497971602434077,3.532,7.138199548795575,12,0.5094243504839532,586.4346845207772,0.5344856630824374,4000
elite,priest,Priest,13,0.98675,3.593362047124398,3.62425,7.375381340901029,13,0.48364668322100035,623.9015253636042,0.5268188775510224,4000
elite,priest,Priest,14,0.98225,3.66530923899211,3.706,7.5948144028917,14,0.4798415125816766,669.040595022939,0.5138786644951151,4000
elite,priest,Priest,15,0.9825,3.6809160305343513,3.723,7.790744327614831,15,0.4676258992805755,726.3520337576093,0.5325557275541756,4000
elite,priest,Priest,16,0.978,3.719069529652352,3.77475,7.889602843666689,16,0.4463736413972247,787.2289971973478,0.5175830815709953,4000
elite,priest,Priest,17,0.9805,3.77027027027027,3.82075,8.054707550992841,17,0.43272997433472915,845.2410509253006,0.5262305475504316,4000
elite,priest,Priest,18,0.978,3.812116564417178,3.87175,8.150495182012849,18,0.42839935760171305,901.0907387580299,0.5211118055555544,4000
elite,priest,Priest,19,0.9785,3.8942258559018907,3.94925,8.262617005956667,19,0.4243634221378543,947.9706094128428,0.5238646666666668,4000
elite,priest,Priest,20,0.97875,3.9113665389527457,3.96375,8.324008868022952,20,0.40864632237871673,1025.7935576421492,0.5233659793814428,4000
