difficulty,class_name,class_label,level,win_rate,avg_rounds_to_kill,avg_rounds_all,avg_combo_len,max_combo_len,finisher_rate,avg_damage_per_attack,avg_end_hp_ratio,samples
elite,priest,Priest,8,0.983,3.4160732451678535,3.45025,5.8461424552050945,8,0.6143936028431808,385.9637198282245,0.4948418141592863,4000
elite,priest,Priest,9,0.97675,3.51548502687484,3.56,6.225462662922157,9,0.5770144739684597,417.82624036869015,0.47934768907562775,4000
elite,priest,Priest,10,0.97675,3.4937292039928334,3.54025,6.554724923791552,10,0.5487008274060096,474.4760487734069,0.48773699999999903,4000
elite,priest,Priest,11,0.98225,3.4960549758208197,3.5355,6.934433379370502,11,0.5331104165152286,524.7985752707713,0.5046416349809936,4000
elite,priest,Priest,12,0.9875,3.4858227848101264,3.51525,7.199854121079504,12,0.5091174325309993,588.5552151714078,0.533651433691755,4000
elite,priest,Priest,13,0.983,3.5811291963377414,3.621,7.400099509560025,13,0.4878811571540266,625.7841353330016,0.5293954081632694,4000
elite,priest,Priest,14,0.97875,3.661558109833972,3.71075,7.563546661107637,14,0.47446320617052323,667.6777152386909,0.5108851791530942,4000
elite,priest,Priest,15,0.983,3.6848931841302135,3.7285,7.795801394931289,15,0.4620537255714384,725.9587045093571,0.5328746130030929,4000
elite,priest,Priest,16,0.98225,3.719521506744719,3.76275,7.894261678407769,16,0.4477805895629574,788.0307776485877,0.5218836858006021,4000
elite,priest,Priest,17,0.98125,3.7597452229299364,3.80875,8.091217132014096,17,0.4314854974247764,848.5514367037138,0.5286599423631109,4000
elite,priest,Priest,18,0.9735,3.8217770929635337,3.8915,8.125916055962692,18,0.43584277148567624,896.9398401065956,0.5201104166666641,4000
elite,priest,Priest,19,0.98275,3.9012973798015773,3.94625,8.308743705447649,19,0.42247073441893923,951.759793342489,0.5227026666666681,4000
elite,priest,Priest,20,0.97875,3.8842911877394637,3.93775,8.371541242195201,20,0.4122905027932961,1034.9166611896155,0.5314188144329902,4000
